traceid,activity,end_time
6_1272,CreateSalesOrder,2020-01-02 22:01:01.967985
6_1608,CreateSalesOrder,2020-01-02 22:07:10.774785
6_1030,CreateSalesOrder,2020-01-02 22:14:30.074119
6_1414,ChangeSalesOrderItem,2020-01-02 22:33:09.732948
6_1582,CreateSalesOrder,2020-01-02 22:36:16.656200
6_1080,CreateSalesOrder,2020-01-02 22:47:30.219706
6_1062,CreateSalesOrder,2020-01-02 22:54:28.977272
6_1373,ChangeSalesOrderItem,2020-01-02 23:08:35.451438
6_1522,CreateDelivery,2020-01-02 23:13:46.439327
6_1528,ChangeSalesOrderItem,2020-01-02 23:51:42.519838
6_1213,ChangeSalesOrderItem,2020-01-03 00:33:44.005617
6_1542,CreateSalesOrder,2020-01-03 01:00:13.994151
6_1221,CreateDelivery,2020-01-03 01:02:55.505754
6_1505,CreateDelivery,2020-01-03 01:34:43.422716
6_1253,CreateSalesOrder,2020-01-03 01:49:16.070981
6_1615,CreateSalesOrder,2020-01-03 02:12:35.032833
6_1560,ChangeSalesOrderItem,2020-01-03 02:30:34.508009
6_1100,CreateDelivery,2020-01-03 02:37:07.368486
6_1316,CreateSalesOrder,2020-01-03 02:39:09.678576
6_1057,CreateSalesOrder,2020-01-03 02:41:33.232639
6_1588,ChangeSalesOrderItem,2020-01-03 02:42:23.057396
6_1477,CreateSalesOrder,2020-01-03 02:59:28.048780
6_1062,CreateDelivery,2020-01-03 03:05:07.655004
6_1547,ChangeSalesOrderItem,2020-01-03 03:26:25.876929
6_1454,ChangeSalesOrderItem,2020-01-03 03:37:07.269501
6_1600,CreateDelivery,2020-01-03 04:29:56.044324
6_1116,CreateDelivery,2020-01-03 05:25:11.798178
6_1307,CreateCustomerInvoice,2020-01-03 05:39:41.880538
6_1235,ChangeSalesOrderItem,2020-01-03 05:42:49.155571
6_1080,ChangeSalesOrderItem,2020-01-03 06:35:53.124845
6_1157,ChangeSalesOrderItem,2020-01-03 06:41:16.371680
6_1030,CreateDelivery,2020-01-03 06:49:01.463524
6_1170,CreateDelivery,2020-01-03 06:53:34.313416
6_1151,CreateDelivery,2020-01-03 06:56:24.658844
6_1024,CreateDelivery,2020-01-03 08:12:21.240909
6_1203,ChangeSalesOrderItem,2020-01-03 08:23:37.938755
6_1489,ChangeSalesOrderItem,2020-01-03 09:29:34.813744
6_1542,CreateDelivery,2020-01-03 09:40:46.150341
6_1316,ChangeSalesOrderItem,2020-01-03 09:46:02.125892
6_1204,CreateSalesOrder,2020-01-03 10:04:00.483501
6_1340,ChangeSalesOrderItem,2020-01-03 10:11:47.832899
6_1298,CreateSalesOrder,2020-01-03 10:30:53.034611
6_1272,CreateDelivery,2020-01-03 10:32:56.140132
6_1582,ChangeSalesOrderItem,2020-01-03 11:42:06.834516
6_1037,CreateDelivery,2020-01-03 11:47:22.202669
6_1547,CreateDelivery,2020-01-03 12:25:14.330726
6_1253,CreateDelivery,2020-01-03 13:10:38.144060
6_1566,CreateCustomerInvoice,2020-01-03 13:29:32.354778
6_1298,ChangeSalesOrderItem,2020-01-03 15:25:28.592682
6_1351,CreateCustomerInvoice,2020-01-03 15:39:05.469078
6_1560,CreateDelivery,2020-01-03 17:25:36.139959
6_1477,CreateDelivery,2020-01-03 17:26:46.794267
6_1108,CreateDelivery,2020-01-03 17:46:38.899447
6_1189,CreateCustomerInvoice,2020-01-03 18:26:23.495144
6_1316,CreateDelivery,2020-01-03 18:42:25.841317
6_1024,CreateCustomerInvoice,2020-01-03 18:42:39.976651
6_1243,CreateDelivery,2020-01-03 18:45:57.241989
6_1344,CreateCustomerInvoice,2020-01-03 18:54:47.215334
6_1429,CreateDelivery,2020-01-03 20:46:31.584325
6_1535,CreateDelivery,2020-01-03 21:15:56.424039
6_1522,CreateCustomerInvoice,2020-01-03 21:20:14.525877
6_1615,ChangeSalesOrderItem,2020-01-03 21:20:48.050313
6_1204,CreateDelivery,2020-01-03 22:09:47.793284
6_1137,CreateDelivery,2020-01-03 22:32:46.454262
6_1100,CreateCustomerInvoice,2020-01-03 23:57:09.619165
6_1489,CreateDelivery,2020-01-04 00:25:53.897272
6_1080,CreateDelivery,2020-01-04 00:54:08.090687
6_1615,CreateDelivery,2020-01-04 02:16:36.548604
6_1018,CreateDelivery,2020-01-04 02:47:51.655072
6_1298,CreateDelivery,2020-01-04 03:16:36.334333
6_1477,CreateCustomerInvoice,2020-01-04 03:57:55.837631
6_1220,CreateDelivery,2020-01-04 04:06:14.780695
6_1151,CreateCustomerInvoice,2020-01-04 04:29:32.582709
6_1496,CreateDelivery,2020-01-04 04:57:01.137368
6_1623,CreateSalesOrder,2020-01-04 05:27:13.227957
6_1608,CreateDelivery,2020-01-04 05:37:16.038933
6_1116,CreateCustomerInvoice,2020-01-04 05:39:17.834775
6_1253,CreateCustomerInvoice,2020-01-04 05:51:11.310394
6_1483,CreateDelivery,2020-01-04 06:10:14.059167
6_1130,CreateDelivery,2020-01-04 06:23:21.321623
6_1600,CreateCustomerInvoice,2020-01-04 06:45:16.801592
6_1421,CreateDelivery,2020-01-04 07:17:42.376602
6_1542,CreateCustomerInvoice,2020-01-04 07:20:06.361329
6_1454,CreateDelivery,2020-01-04 07:22:36.570102
6_1030,CreateCustomerInvoice,2020-01-04 07:22:51.584219
6_1505,CreateCustomerInvoice,2020-01-04 07:24:58.389528
6_1528,CreateDelivery,2020-01-04 07:25:45.660283
6_1213,CreateDelivery,2020-01-04 07:48:24.854977
6_1569,CreateSalesOrder,2020-01-04 08:19:14.693281
6_1037,CreateCustomerInvoice,2020-01-04 08:55:59.398017
6_1340,CreateDelivery,2020-01-04 09:28:22.946063
6_1235,CreateDelivery,2020-01-04 09:44:13.200436
6_1062,CreateCustomerInvoice,2020-01-04 09:45:09.499759
6_1582,CreateDelivery,2020-01-04 11:15:34.205179
6_1560,CreateCustomerInvoice,2020-01-04 11:39:06.927744
6_1316,CreateCustomerInvoice,2020-01-04 11:45:49.307227
6_1535,CreateCustomerInvoice,2020-01-04 11:51:06.570554
6_1373,CreateDelivery,2020-01-04 11:55:50.932519
6_1170,CreateCustomerInvoice,2020-01-04 12:19:08.644811
6_1624,CreateSalesOrder,2020-01-04 12:28:47.146012
6_1157,CreateDelivery,2020-01-04 12:47:19.596410
6_1359,CreateDelivery,2020-01-04 13:17:13.597220
6_1413,CreateDelivery,2020-01-04 13:37:31.585749
6_1414,CreateDelivery,2020-01-04 13:43:16.517514
6_1221,CreateCustomerInvoice,2020-01-04 13:47:59.371782
6_1489,CreateCustomerInvoice,2020-01-04 14:32:35.927322
6_1203,CreateDelivery,2020-01-04 15:40:37.009299
6_1588,CreateDelivery,2020-01-04 16:02:51.852090
6_1108,CreateCustomerInvoice,2020-01-04 16:08:43.513447
6_1057,CreateDelivery,2020-01-04 16:28:38.952181
6_1272,CreateCustomerInvoice,2020-01-04 17:02:58.862656
6_1547,CreateCustomerInvoice,2020-01-04 17:38:31.358160
6_1570,CreateSalesOrder,2020-01-04 20:07:59.802408
6_1528,CreateCustomerInvoice,2020-01-04 20:41:08.672584
6_1429,CreateCustomerInvoice,2020-01-04 21:39:46.705135
6_1130,CreateCustomerInvoice,2020-01-04 22:21:11.012140
6_1615,CreateCustomerInvoice,2020-01-04 22:59:47.166191
6_1018,CreateCustomerInvoice,2020-01-05 00:13:26.755266
6_1340,CreateCustomerInvoice,2020-01-05 00:38:14.234951
6_1243,CreateCustomerInvoice,2020-01-05 01:05:30.388752
6_1496,CreateCustomerInvoice,2020-01-05 01:09:21.930475
6_1204,CreateCustomerInvoice,2020-01-05 01:18:35.119592
6_1421,CreateCustomerInvoice,2020-01-05 01:39:49.102071
6_1608,CreateCustomerInvoice,2020-01-05 02:31:00.042178
6_1483,CreateCustomerInvoice,2020-01-05 02:58:49.619838
6_1220,CreateCustomerInvoice,2020-01-05 03:14:07.830110
6_1213,CreateCustomerInvoice,2020-01-05 03:22:17.234354
6_1080,CreateCustomerInvoice,2020-01-05 03:48:33.836654
6_1298,CreateCustomerInvoice,2020-01-05 05:19:07.180293
6_1454,CreateCustomerInvoice,2020-01-05 06:03:51.654014
6_1203,CreateCustomerInvoice,2020-01-05 06:07:26.821365
6_1359,CreateCustomerInvoice,2020-01-05 06:07:46.540784
6_1157,CreateCustomerInvoice,2020-01-05 06:16:25.442854
6_1373,CreateCustomerInvoice,2020-01-05 06:43:21.621527
6_1623,ChangeSalesOrderItem,2020-01-05 07:55:28.846698
6_1413,CreateCustomerInvoice,2020-01-05 08:11:57.002047
6_1137,CreateCustomerInvoice,2020-01-05 08:26:15.247736
6_1235,CreateCustomerInvoice,2020-01-05 09:10:45.435993
6_1588,CreateCustomerInvoice,2020-01-05 09:19:33.157830
6_1582,CreateCustomerInvoice,2020-01-05 09:42:36.860221
6_1569,ChangeSalesOrderItem,2020-01-05 11:02:54.881135
6_1625,CreateSalesOrder,2020-01-05 16:00:57.323610
6_1414,CreateCustomerInvoice,2020-01-06 00:03:20.141161
6_1057,CreateCustomerInvoice,2020-01-06 00:22:28.151584
6_1626,CreateSalesOrder,2020-01-06 02:13:09.457973
6_1623,CreateDelivery,2020-01-06 11:21:30.122821
6_1627,CreateSalesOrder,2020-01-06 13:03:41.541328
6_1570,CreateDelivery,2020-01-07 02:26:53.487713
6_1626,CreateDelivery,2020-01-07 03:24:05.798928
6_1569,CreateDelivery,2020-01-07 14:27:38.866004
6_1627,ChangeSalesOrderItem,2020-01-07 17:00:08.078713
6_1624,CreateDelivery,2020-01-07 20:46:22.629298
6_1569,CreateCustomerInvoice,2020-01-08 14:38:33.666708
6_1627,CreateDelivery,2020-01-08 17:04:12.677432
6_1570,CreateCustomerInvoice,2020-01-08 20:56:29.686914
6_1623,CreateCustomerInvoice,2020-01-09 00:22:12.202723
6_1624,CreateCustomerInvoice,2020-01-09 09:24:01.988544
6_1625,CreateDelivery,2020-01-10 06:25:13.687084
6_1626,CreateCustomerInvoice,2020-01-10 16:57:05.309706
6_1627,CreateCustomerInvoice,2020-01-11 06:57:49.869930
6_1625,CreateCustomerInvoice,2020-01-12 16:36:08.873466
